Area,Bedrooms,Bathrooms,Floors,Age,Parking,Price
3573,4,1.0,2,4,0,7624000
1521,4,1.0,3,4,2,3957000
3961,2,1.0,3,5,1,8058000
3113,3,3.0,1,12,0,6609000
1629,4,3.0,1,8,1,4151000
2000,1,2.0,2,29,0,4360000
1202,1,2.0,3,21,0,2881000
2949,5,2.0,3,27,1,6876000
3277,3,1.0,3,28,2,7368000
2079,3,1.0,2,14,0,4638000
661,5,2.0,1,13,0,2478000
701,4,1.0,2,23,0,2364000
2481,3,2.0,1,6,2,5858000
1495,1,3.0,1,24,2,3509000
2817,1,2.0,2,19,1,5721000
1315,2,3.0,1,1,2,3272000
3842,3,1.0,1,6,1,7867000
955,4,2.0,3,5,1,3027000
1775,5,1.0,1,16,2,4767000
1516,5,3.0,2,26,1,4434000
2843,4,3.0,2,24,2,6322000
3267,2,,1,24,1,6694000
837,5,1.0,3,27,2,2893000
1378,3,1.0,3,1,2,3895000
1576,2,1.0,1,2,1,3675000
1291,3,1.0,1,4,0,3137000
2764,1,3.0,2,4,1,5916000
1263,2,3.0,1,0,2,3279000
2735,5,2.0,3,7,0,6468000
879,2,2.0,1,11,1,2361000
992,2,1.0,2,23,1,2514000
3612,2,3.0,2,3,1,7781000
1680,2,3.0,2,12,0,3909000
2562,3,3.0,2,22,2,5615000
564,1,2.0,2,14,1,1829000
3068,4,2.0,1,10,1,6658000
1867,2,3.0,1,9,1,4432000
1652,5,3.0,1,2,1,4501000
2527,2,3.0,1,21,1,5479000
3195,5,2.0,2,13,2,7207000
1995,3,3.0,3,15,2,4816000
3634,5,3.0,1,9,1,7999000
1662,4,1.0,3,28,0,4224000
2022,1,1.0,1,9,2,4199000
3140,5,2.0,1,11,0,6926000
891,5,3.0,3,29,2,3325000
2198,1,,2,8,1,4962000
918,4,1.0,1,0,2,3049000
2836,2,2.0,1,4,1,5940000
878,5,,1,19,2,2561000
2296,1,1.0,3,7,1,4978000
2778,3,1.0,2,10,1,6075000
3565,1,1.0,3,11,1,7417000
2588,3,3.0,3,0,1,6187000
3599,4,3.0,2,24,0,7799000
2682,2,1.0,3,21,1,5837000
700,1,2.0,2,19,0,1946000
2363,5,2.0,1,27,0,5266000
1279,4,2.0,2,24,1,3520000
3477,1,2.0,1,10,0,7086000
3604,5,1.0,3,4,2,8076000
3619,1,3.0,3,14,1,7619000
1002,3,2.0,1,4,0,2749000
2954,1,,3,11,1,6072000
2251,1,2.0,2,4,1,4974000
1304,1,2.0,1,16,1,2975000
2646,4,1.0,3,16,0,5845000
3231,1,3.0,1,23,2,6695000
2395,5,3.0,2,11,2,6000000
3273,3,1.0,2,23,0,6756000
2070,3,3.0,3,27,1,4767000
1460,1,1.0,2,14,0,3158000
3160,4,1.0,1,14,0,6729000
1985,4,1.0,2,5,0,4737000
3190,5,3.0,1,11,1,7213000
1528,1,1.0,1,26,0,3329000
3789,3,2.0,2,28,1,7851000
1002,4,3.0,3,19,0,3188000
3314,1,3.0,2,17,2,6903000
897,4,3.0,1,13,0,3002000
1370,4,3.0,1,1,0,3956000
3342,3,2.0,2,8,2,7027000
892,2,3.0,3,4,1,2747000
706,5,3.0,3,19,1,2831000
1538,5,1.0,1,25,0,3833000
2381,3,3.0,1,28,2,5665000
3439,4,2.0,3,0,1,7624000
1984,1,2.0,2,22,0,4150000
1363,4,2.0,1,2,2,3833000
3290,3,2.0,1,5,1,7028000
3812,5,3.0,3,4,1,8537000
1063,4,3.0,2,20,2,3565000
1520,5,2.0,3,26,2,4269000
595,1,2.0,2,4,2,1935000
2423,5,3.0,2,0,2,5698000
2257,5,2.0,2,16,0,5368000
3032,2,1.0,1,18,2,6463000
3978,2,2.0,3,13,1,8182000
2778,2,2.0,3,11,1,5709000
3296,5,1.0,2,9,0,7123000
2178,3,1.0,1,19,1,4964000
3742,5,3.0,1,20,1,8207000
1040,3,3.0,3,17,2,3071000
1559,3,1.0,1,23,1,3596000
3072,2,1.0,1,26,0,6118000
1683,4,3.0,2,10,2,4360000
2222,1,2.0,1,29,2,4400000
3814,2,1.0,2,1,0,7835000
3657,2,3.0,3,24,2,7911000
2319,4,2.0,1,17,2,5161000
3125,1,1.0,3,28,0,6462000
3229,5,2.0,3,24,2,7287000
3104,5,,1,6,0,7171000
2097,2,1.0,1,23,0,4445000
3560,1,2.0,3,14,1,7308000
3193,2,1.0,1,10,1,6593000
1295,3,2.0,2,17,2,3357000
1551,2,3.0,2,22,2,4041000
2143,2,3.0,1,11,0,4614000
1863,5,1.0,3,5,2,4778000
2481,5,2.0,1,19,0,5779000
1854,5,1.0,1,22,0,4381000
2163,3,1.0,3,29,2,5075000
2029,5,2.0,3,12,0,5289000
2538,1,2.0,2,19,1,5495000
3919,4,2.0,3,15,2,8149000
1996,1,3.0,2,17,1,4497000
3802,1,1.0,3,9,2,7863000
2737,5,1.0,1,27,0,5824000
3796,4,3.0,2,22,2,8311000
1908,4,2.0,2,7,1,4820000
1900,4,3.0,2,17,0,4513000
1806,3,3.0,1,20,2,4526000
3180,5,3.0,1,0,2,7315000
3175,4,1.0,1,22,2,6903000
1472,3,3.0,1,7,1,3660000
2268,2,1.0,1,28,1,4805000
1782,2,,2,5,2,3907000
3930,3,1.0,1,4,0,7642000
1209,3,2.0,2,14,0,3237000
1979,5,1.0,1,21,1,4912000
1934,5,1.0,3,14,0,4839000
1148,2,2.0,2,1,1,3072000
817,4,1.0,3,0,2,2802000
3796,2,3.0,2,22,1,7701000
1757,4,3.0,3,22,1,4519000
1183,4,1.0,1,25,2,3268000
1163,5,2.0,1,10,0,3308000
2498,1,3.0,1,9,1,5454000
3945,1,2.0,2,29,1,7855000
2131,3,2.0,3,17,2,5108000
1995,5,3.0,1,17,0,5069000
3804,4,2.0,3,16,1,8088000
1636,1,3.0,3,25,2,4029000
2353,4,2.0,1,7,1,5382000
2020,1,3.0,1,14,2,4567000
2989,1,1.0,3,7,0,6038000
1063,1,3.0,1,16,0,2527000
1791,5,3.0,1,11,0,4613000
3957,2,3.0,1,26,0,7690000
3958,4,3.0,2,7,1,8465000
3684,5,2.0,3,24,1,7820000
2136,5,1.0,3,13,0,5287000
3499,5,3.0,2,3,0,7951000
3652,5,2.0,3,0,0,7934000
1198,5,1.0,1,0,1,3511000
2660,3,1.0,3,18,0,5923000
501,4,1.0,1,15,0,2042000
1141,5,1.0,2,13,0,3331000
2767,4,3.0,1,20,2,6391000
2089,3,3.0,3,15,0,4878000
1354,3,2.0,3,4,2,3740000
2259,4,2.0,3,8,2,5416000
3796,1,2.0,2,25,0,7408000
2932,2,1.0,2,29,2,6118000
3974,1,1.0,3,27,0,7860000
2161,1,3.0,1,1,1,4949000
1653,1,1.0,2,17,1,3700000
1576,5,1.0,3,5,1,4358000
2207,3,1.0,3,8,1,5181000
3277,1,2.0,2,0,2,7232000
2195,3,2.0,2,8,0,4749000
2233,4,3.0,2,24,0,5156000
1939,2,1.0,1,15,0,4416000
2794,4,1.0,1,12,1,6056000
1335,4,3.0,3,8,1,3996000
702,5,1.0,2,20,0,2508000
3755,2,1.0,1,12,1,7855000
622,4,2.0,2,8,0,2173000
900,4,,3,10,0,3193000
1266,2,3.0,1,3,0,3506000
793,2,3.0,1,1,0,2250000
2827,4,3.0,1,28,0,6346000
3431,2,2.0,3,5,0,7046000
697,4,2.0,2,13,0,2454000
3529,4,1.0,1,3,1,7439000
2430,5,1.0,3,5,0,5379000
3299,1,1.0,2,18,0,6622000
2691,4,1.0,3,5,1,6140000
1108,3,2.0,2,1,1,3381000
3772,1,,3,17,1,7846000
1647,1,2.0,2,12,0,4058000
686,1,1.0,1,8,2,1961000
3897,5,2.0,2,22,2,8419000
3011,4,3.0,3,18,1,6802000
3920,5,3.0,3,12,2,8640000
2294,4,2.0,2,10,1,5068000
1159,5,2.0,1,0,0,3383000
3311,5,2.0,1,23,2,6985000
3502,3,1.0,2,29,0,7236000
2455,5,2.0,2,21,2,5658000
2950,2,2.0,3,6,0,6186000
1869,3,2.0,1,24,2,4294000
2486,5,3.0,2,20,0,5854000
2034,1,3.0,1,14,0,4422000
646,2,1.0,2,0,2,2305000
3719,2,1.0,2,11,0,7413000
3411,2,3.0,1,25,0,7067000
2234,3,3.0,2,6,0,5611000
2343,5,3.0,2,14,2,5834000
988,5,2.0,3,20,2,3261000
3476,1,2.0,2,18,0,6860000
2459,1,3.0,2,27,0,5172000
2163,2,2.0,2,28,2,4700000
3098,1,2.0,3,24,2,6507000
2885,3,1.0,1,0,0,6139000
3419,5,3.0,3,16,0,7340000
1140,2,3.0,3,16,0,3109000
2302,1,2.0,1,2,1,5085000
3020,3,3.0,3,11,2,6731000
2469,3,1.0,1,5,1,5311000
2698,1,1.0,3,25,2,5435000
1938,5,1.0,1,10,2,4510000
3869,1,3.0,2,2,2,8109000
2134,2,3.0,3,7,2,5039000
762,1,3.0,3,13,2,2532000
2287,3,3.0,3,13,2,5691000
2691,1,3.0,3,9,2,6047000
2893,5,1.0,2,1,1,6491000
1123,4,2.0,3,13,0,3318000
1516,1,1.0,2,8,0,3307000
1380,5,3.0,2,2,1,3938000
2549,5,1.0,2,20,1,5910000
3444,3,3.0,2,25,1,7219000
1827,5,3.0,1,7,1,4412000
2801,5,1.0,1,15,2,6184000
952,5,3.0,3,1,0,3253000
3608,5,2.0,1,5,2,8148000
1683,2,3.0,1,27,0,3801000
3562,2,2.0,3,20,0,7428000
2556,3,2.0,3,28,1,5686000
3804,1,3.0,3,25,2,8016000
3670,5,1.0,1,24,1,7950000
2182,1,2.0,1,11,2,4899000
3363,1,1.0,3,4,0,6563000
2755,3,2.0,2,1,1,6155000
1654,5,3.0,3,15,1,4666000
903,5,3.0,2,4,0,3173000
2699,4,2.0,2,14,0,6144000
2601,1,3.0,3,11,0,5626000
3691,1,2.0,3,3,1,7467000
2196,2,3.0,3,14,2,4888000
1127,4,1.0,1,10,1,3022000
1086,2,3.0,2,15,2,3462000
2148,2,1.0,1,22,1,4524000
1943,2,3.0,1,5,1,4218000
1945,3,1.0,3,13,0,4636000
603,3,3.0,1,17,2,2379000
753,2,1.0,3,11,1,2493000
3798,4,,2,26,1,8097000
3683,1,2.0,3,10,0,7596000
3057,4,1.0,1,12,0,6799000
1996,5,3.0,1,20,2,4931000
598,3,1.0,3,22,1,1975000
2700,1,3.0,3,10,2,5756000
2384,1,2.0,1,22,1,4931000
3461,5,3.0,2,15,2,8000000
2419,5,2.0,2,14,0,5773000
1377,2,3.0,3,20,1,3652000
837,3,3.0,2,27,2,2429000
3369,3,3.0,1,14,0,7020000
3734,4,1.0,3,24,0,7566000
1456,2,1.0,1,3,2,3681000
2204,2,2.0,1,10,1,5095000
660,2,2.0,2,18,1,2235000
2103,2,1.0,3,14,0,4507000
3348,3,2.0,3,3,1,7484000
897,3,1.0,2,20,1,2547000
1800,2,3.0,1,12,1,4038000
1315,4,2.0,1,21,0,3297000
2027,1,2.0,1,18,2,4344000
2419,1,1.0,1,1,1,5047000
1915,4,2.0,3,13,0,4698000
1658,2,2.0,3,28,0,3672000
1718,3,3.0,2,3,2,4589000
900,1,2.0,2,15,1,2392000
1139,5,3.0,3,20,1,3493000
3604,5,1.0,3,19,2,8069000
3235,4,2.0,1,13,2,6880000
959,2,3.0,1,26,0,2332000
1454,1,1.0,2,28,0,3378000
969,2,2.0,3,14,2,3118000
3946,1,1.0,2,27,1,7668000
1545,4,2.0,3,2,0,4104000
3297,4,1.0,1,7,0,6808000
2193,5,1.0,2,15,1,5243000
2585,2,3.0,2,9,0,5597000
2777,5,,3,3,1,6418000
3936,2,2.0,1,29,1,7941000
1062,5,2.0,2,17,1,3132000
2985,3,3.0,1,1,2,6564000
2299,3,2.0,2,16,2,5018000
3854,3,2.0,1,12,2,7974000
2574,3,2.0,3,3,1,5854000
725,1,1.0,2,25,1,1984000
3848,3,1.0,2,24,2,7972000
1297,4,2.0,1,29,0,3505000
2831,4,3.0,1,10,1,6155000
3426,1,1.0,2,6,0,6624000
1459,3,3.0,3,11,0,3941000
2004,3,2.0,1,9,1,4346000
952,3,2.0,1,6,1,2801000
3567,5,1.0,1,12,0,7414000
1315,2,2.0,2,6,0,3533000
1158,5,1.0,2,23,2,3437000
1046,2,,2,16,2,2850000
1715,3,2.0,2,9,1,4396000
3620,3,1.0,3,28,2,7426000
516,5,1.0,3,9,2,2263000
3743,5,1.0,2,23,2,7863000
1743,2,2.0,3,3,2,4153000
2705,4,2.0,1,19,0,5963000
3024,2,3.0,1,3,1,6542000
1569,5,1.0,1,21,2,4213000
3944,5,2.0,2,6,0,8205000
3065,1,2.0,1,21,0,6116000
2646,5,1.0,3,0,0,5987000
2268,1,3.0,2,11,2,5027000
1560,4,1.0,3,23,2,4403000
2827,2,3.0,1,12,1,6112000
3920,2,2.0,1,9,2,8146000
3044,1,3.0,1,14,2,6653000
801,2,2.0,2,26,0,2441000
680,5,1.0,3,12,1,2547000
1106,3,1.0,2,22,2,2819000
3670,1,1.0,2,21,2,7326000
1199,2,3.0,1,21,0,2948000
1492,1,2.0,2,20,0,3167000
1639,1,1.0,2,21,2,3711000
690,3,1.0,1,27,1,2137000
2800,5,2.0,2,8,1,6735000
1480,1,1.0,1,25,0,3115000
3475,2,2.0,1,8,0,7137000
2506,4,2.0,1,14,2,5641000
1684,1,2.0,1,9,0,3847000
3827,1,2.0,2,23,2,7685000
3894,3,2.0,1,25,1,7798000
627,5,,1,24,1,2497000
2565,4,1.0,2,28,2,5816000
2316,2,3.0,2,9,0,5222000
2258,4,1.0,3,7,1,5486000
3113,2,3.0,2,23,0,6331000
1069,5,2.0,2,15,1,3193000
1846,2,1.0,3,16,2,4399000
2395,3,1.0,2,25,2,5207000
3233,3,3.0,2,26,2,7055000
1125,3,,2,4,1,2912000
3859,3,1.0,2,3,0,8349000
3401,4,3.0,3,17,0,7436000
2186,5,3.0,2,23,0,5509000
3509,2,3.0,2,18,1,7296000
654,2,2.0,3,3,1,2324000
3037,3,2.0,1,27,1,6645000
1909,3,3.0,3,6,1,4931000
1284,1,3.0,1,9,1,3126000
3675,5,2.0,3,24,0,7965000
3964,4,2.0,3,17,1,8601000
745,2,,2,18,1,2521000
3747,1,1.0,1,3,0,7388000
3610,1,2.0,2,9,1,7617000
2000,2,3.0,1,0,0,4544000
2205,4,3.0,3,22,0,5442000
3306,1,3.0,3,17,2,7141000
1037,1,3.0,1,4,2,2735000
2390,5,1.0,2,14,2,5550000
2341,4,2.0,2,16,2,5686000
1420,1,3.0,2,2,1,3436000
2955,4,1.0,2,11,2,6410000
1024,2,3.0,3,1,0,2876000
3375,3,2.0,3,0,1,7245000
2029,1,1.0,3,22,2,4581000
3450,5,2.0,3,20,0,7677000
535,2,2.0,3,16,1,2090000
1184,4,1.0,2,21,1,3309000
519,2,1.0,2,15,2,1750000
2868,1,1.0,2,4,1,6017000
3059,4,1.0,2,14,0,6774000
899,3,1.0,3,2,1,2846000
3201,2,1.0,3,27,0,6634000
1471,1,1.0,3,6,1,3353000
2406,5,3.0,1,10,2,5863000
3018,4,2.0,2,9,0,6524000
1666,2,1.0,2,8,1,3875000
1615,2,3.0,3,13,1,3796000
3925,3,3.0,2,12,1,8030000
1333,3,3.0,2,28,0,3441000
2323,5,2.0,3,24,0,5469000
3274,5,1.0,1,29,0,6994000
2482,1,3.0,1,24,2,5277000
1353,1,2.0,1,1,2,3285000
550,5,2.0,3,2,0,2561000
1074,5,2.0,2,6,1,3304000
3761,4,3.0,3,20,2,8197000
1648,3,1.0,3,17,0,4190000
2697,1,3.0,2,2,1,5815000
2861,3,3.0,1,9,2,6328000
3117,3,1.0,1,21,1,6508000
3913,5,1.0,3,28,1,8329000
2852,4,1.0,1,6,1,6137000
